Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 30, 3173, No update data, 9g3qx2sr825y
Bird, MEX, 2d4d4242-aa88-42cf-a0e0-d2214e56e1f9, 51, 6680, No update data, 9g3qrwc1q8pf
Bird, MEX, ab970ab1-b98a-4e04-bc4c-cdf4c0c2bbea, 71, 9480, No update data, 9g3qrpktm36d
Bird, MEX, cc91201f-50ef-4cf4-adb1-890f6a9ea95d, 78, 10586, No update data, 9g3qrpksndv5
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 49, 6004, No update data, 9g3qrpksjusj
Bird, MEX, 9f3233d0-c11b-453e-82ed-8120ae7b022a, 83, 11376, No update data, 9g3qrpksh64u
Bird, MEX, c07778fb-6ed5-4bca-8e04-345365749886, 58, 7426, No update data, 9g3qx07j0wbk
Bird, MEX, e804b161-7aee-459e-839a-94828863aeb9, 27, 2528, No update data, 9g3qrpk6zxnz
Bird, MEX, 4da5f314-3031-49d6-880e-ef89ffe5079e, 73, 9796, No update data, 9g3qrpk6zf6j
Bird, MEX, 010d5197-a32a-46bc-9d9b-069164ce186a, 67, 8848, No update data, 9g3qrwfzrsh7
Bird, MEX, 2394e41a-8bbe-457b-b561-151b9cdf4f74, 52, 6478, No update data, 9g3qrwf1ypxw
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 52, 6478, No update data, 9g3qx8j9fkr4
Bird, MEX, 97d31d9d-4862-4bbd-bf10-665a24061214, 94, 13114, No update data, 9g3qx0fsykm6
Bird, MEX, 46a09f82-d647-42e5-95e5-38f5d6ac6986, 51, 6320, No update data, 9g3qx0fskmmv
Bird, MEX, ca6a9cdf-af07-40fa-a73c-36281c06e5ee, 51, 6680, No update data, 9g3qx9u8gmeg
Bird, MEX, 97532d35-95e5-4351-8309-46ab776b4098, 89, 13026, No update data, 9g3qrx5f0uk5
Bird, MEX, deb2734b-cf82-4a5c-b1b7-e9cb46bca9de, 84, 11534, No update data, 9g3qrnww0gmj
Bird, MEX, 04b85ce0-bd7f-4946-9f7b-78a238704c8a, 46, 5530, No update data, 9g3qrnww0d0t
Bird, MEX, 0192c271-5ae0-45f8-836b-abaee5c5ef14, 91, 12640, No update data, 9g3qrx5f41ef
Bird, MEX, 3e904c95-0175-4c8c-99d1-3b59b70df10d, 60, 7742, No update data, 9g3qx142s56f
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 34, 3841, No update data, 9g3qrw92yrst
Bird, MEX, de2e1e5e-133f-4848-89c6-887f1d56ca43, 57, 7268, No update data, 9g3qrw9928rh
Bird, MEX, b8349688-e3c7-442f-be35-81c7ba1bd907, 85, 11692, No update data, 9g3qrq5w7e3x
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 57, 7682, No update data, 9g3qrqr3ds2r
Bird, MEX, 99895216-2334-44cd-94ad-37b36bad3d5b, 55, 7348, No update data, 9g3qx1465zhw
Bird, MEX, 98437846-d5c1-401f-85e3-a97238194eac, 75, 10112, No update data, 9g3qrw92x1dy
Bird, MEX, bec65aea-e9b9-40a8-87c8-9e64b991c10d, 49, 6004, No update data, 9g3qx9tq8vu4
Bird, MEX, 5660ce07-fa51-4b19-aeb7-9770816d77b3, 45, 5678, No update data, 9g3qx9tq9bx1
Bird, MEX, 7b478205-4876-4f96-99fe-8dbff48c7b58, 76, 10855, No update data, 9g3qx9tqf1k0
Bird, MEX, 88a07286-29f3-4f83-8e80-7a8d78c4e185, 84, 11534, No update data, 9g3qrqnzum0j
Bird, MEX, 8ce82fd6-5731-45fe-9822-a2f42ff5d511, 58, 7849, No update data, 9g3qrw9cwddu
Bird, MEX, 2c03e0f5-34c4-4f22-8832-8a7d0c880d38, 53, 7014, No update data, 9g3qx4mxe1y6
Bird, MEX, 065b1998-0ad9-4c9e-86c9-87e2cc7378e2, 64, 8374, No update data, 9g3qx9twm3ep
Bird, MEX, 7b05f26f-d0e2-401a-8f88-1ac89c1fc302, 46, 5530, No update data, 9g3qx9nedjhn
Bird, MEX, 97490a3d-5931-4090-921a-2c0638ee3212, 71, 9480, No update data, 9g3qx8wv5nqb
Bird, MEX, 999ccdfa-ce8f-479c-832f-7871c31ce2f3, 90, 12482, No update data, 9g3qrqj7n11r
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 45, 5372, No update data, 9g3qx4hj7sc7
Bird, MEX, b32e00f4-dbf8-455e-b74f-928e3363321c, 49, 6004, No update data, 9g3qxdht11r7
Bird, MEX, 918117da-5017-4740-8210-e58402ddd53f, 67, 8848, No update data, 9g3qrq56xk0v
Bird, MEX, 0accf128-7749-470a-aaf2-1983a7f5a704, 84, 11534, No update data, 9g3qrq0r8583
Bird, MEX, 841aa314-b90d-45b0-ba7d-1a003f283759, 58, 7426, No update data, 9g3qrnrbtgs1
Bird, MEX, fd05bfb2-9132-4817-a24d-0f6f31661ac5, 56, 7515, No update data, 9g3qrq1hfe24
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 80, 10902, No update data, 9g3qrnr92uj5
Bird, MEX, 228178f6-8216-4a1b-a258-423e49e655ee, 81, 11060, No update data, 9g3qrnqgv92y
Bird, MEX, b54ee671-fe99-419b-b9c1-20511c28f546, 48, 5846, No update data, 9g3qx8xheh28
Bird, MEX, 1e3f0f90-b608-4121-aac2-ada709eced85, 88, 12859, No update data, 9g3qrq0qmd8c
Bird, MEX, 65553a01-93f2-4d7c-b206-5a3b9666bf36, 75, 10112, No update data, 9g3qrq0qhws2
Bird, MEX, 082ebf62-f600-4120-8330-a4e13275997c, 100, 14062, No update data, 9g3qx16h86er
Bird, MEX, 6864fcbe-db31-41c6-a2e3-b2235d8a8ae8, 57, 7268, No update data, 9g3qx1dqrb6p
Bird, MEX, 8cdc2733-90de-4c40-a89f-16ed1631d0f0, 61, 8350, No update data, 9g3qx1dqrxm4
Bird, MEX, d57b16f8-ed91-4991-9c14-6f98ba1ad7d2, 60, 7742, No update data, 9g3qrw6x4pgb
Bird, MEX, f3b13f3d-02fe-419c-bfde-885af0455718, 55, 6952, No update data, 9g3qrwe73b0f
Bird, MEX, 35551b35-ad40-4386-bce2-9cdb881ce61c, 62, 8058, No update data, 9g3qx8xnr2c2
Bird, MEX, 6fb75537-642f-4cc3-9989-5c8b67984b76, 78, 10586, No update data, 9g3qrwe77s3v
Bird, MEX, ac86c0fb-541b-4ed1-bf57-c4accb3072de, 100, 14062, No update data, 9g3qrq16rzd2
Bird, MEX, 3dd58251-b40d-45d7-9c4d-c5ace8444f8b, 45, 5372, No update data, 9g3qrq0jsjrv
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 43, 5056, No update data, 9g3qrq0js7y5
Bird, MEX, fdf23fd7-f933-4b42-b81f-334d133c93be, 100, 14062, No update data, 9g3qrq16kskk
Bird, MEX, 029aaafc-dbce-48b3-8b5f-938d6a0ff150, 100, 14863, No update data, 9g3qrq16nprm
Bird, MEX, d409baed-55c6-4bb5-9c49-8c8614ae66ed, 53, 6636, No update data, 9g3qrq0jecsy
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 28, 2839, No update data, 9g3qrq0jkrnn
Bird, MEX, 1842616a-81b3-463c-a3f4-3fe535202967, 46, 5845, No update data, 9g3qrw6hqdxc
Bird, MEX, f3c02423-9a13-430e-8152-4483b39f8b5c, 100, 14062, No update data, 9g3qrq16jq4y
Bird, MEX, 2b13cba3-d651-4e88-8f3e-e7d149eb9dc0, 100, 14062, No update data, 9g3qrq16jjk8
Bird, MEX, 774eded8-cf75-4f66-9c5c-0ce43eee5c7f, 100, 14062, No update data, 9g3qrq16jfkn
Bird, MEX, 42fb2c34-0b70-4700-861d-237c062a6e1c, 64, 8374, No update data, 9g3qx8zk3u0v
Bird, MEX, b57bf271-f66a-4b60-8392-2b4dcfa96ffc, 100, 14863, No update data, 9g3qrq4028bx
Bird, MEX, 6890e9d9-bf06-4a87-a1a0-25bb91c4ef07, 100, 14863, No update data, 9g3qrq1bnfju
Bird, MEX, 13072f05-7e65-4167-8766-78e48998ab36, 100, 14863, No update data, 9g3qrq1bp38b
Bird, MEX, e6583862-9a46-49a7-81fb-e0e058d6ab3a, 100, 14863, No update data, 9g3qrmczyw4e
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 100, 14863, No update data, 9g3qrmczyks3
Bird, MEX, c5c55843-5efd-41a5-bb9e-86946664f52f, 100, 14863, No update data, 9g3qrmfx0279
Bird, MEX, 25bb3299-c2db-4d35-836e-22aa7c63d68a, 72, 9638, No update data, 9g3qrxwy7dx4
Bird, MEX, 8f083d3f-7ed3-4fc2-b687-774315ea2bab, 100, 14863, No update data, 9g3qrmfwcm2r
Bird, MEX, 52958f38-f1b7-41c4-9932-fabf2125a508, 100, 14863, No update data, 9g3qrmfwcm0m
Bird, MEX, c24e386f-09e3-46fd-add4-626352ae07ea, 100, 14863, No update data, 9g3qrmfwbugg
Bird, MEX, 68c8952c-44e5-4628-b7d2-fa994a64a3b9, 69, 9164, No update data, 9g3qrwugetyb
Bird, MEX, 9fd728a8-d70e-4e48-94db-8fe585f60070, 100, 14062, No update data, 9g3qrmfw8yeu
Bird, MEX, 399b6028-34ac-4344-868c-ce8cbefa9845, 56, 7110, No update data, 9g3qx47gwu8e
Bird, MEX, a2940bd7-a9d0-4552-b0c8-29a1e63ac37a, 66, 8690, No update data, 9g3qrwsh2nvv
Bird, MEX, 3a0ccda4-4445-4202-83eb-950fb2f58d18, 29, 2844, No update data, 9g3qxdkcr2c3
Bird, MEX, c7a14cd3-c8e9-4fe7-8112-fd848899bb99, 64, 8851, No update data, 9g3qrnpn6qxf
Bird, MEX, 97e30deb-68c5-4d4f-85ac-d652fab66cb8, 73, 9796, No update data, 9g3qx8rdh57q
Bird, MEX, e21b65f9-b8a8-453d-8d02-c6d1f99d8143, 48, 5846, No update data, 9g3qx8rdmjtp
Bird, MEX, 6e49eee0-0a2e-4514-a310-f68bac166852, 75, 10112, No update data, 9g3qrmympph5
Bird, MEX, 265a0596-f268-43f6-8d1c-41d28962efd3, 85, 11692, No update data, 9g3qx8rf2dzm
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 48, 6179, No update data, 9g3qx9y8nsfb
Bird, MEX, ec282f9d-c4c9-4f6b-b4cc-1164a1722115, 28, 2686, No update data, 9g3qx471pmqu
Bird, MEX, 884dfb89-f8ff-47e9-81e0-08b89aa32b32, 39, 4676, No update data, 9g3qrmyg2nvs
Bird, MEX, 6be5fd24-1ade-4008-90f4-7886af0ce58a, 47, 5688, No update data, 9g3qx10tx2be
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 100, 14863, No update data, 9g3qrmchm0ux
